statusId | label
4|Drive
statusId|sensorName|value|timestamp
4|R3GD20 Gyroscope sensor|[0.04642576,0.015882496,-0.65484756]|1511413946690
4|BOSCH BMA250 3-axis Accelerometer|[8.465898,0.34476504,3.7541082]|1511413946700
4|R3GD20 Gyroscope sensor|[0.04886922,0.02321288,-0.70371675]|1511413946700
4|R3GD20 Gyroscope sensor|[0.02443461,-0.02321288,-0.784351]|1511413946710
4|BOSCH BMA250 3-axis Accelerometer|[9.040505,0.38307226,3.4859576]|1511413946720
4|R3GD20 Gyroscope sensor|[0.05375614,0.007330383,-0.8210029]|1511413946720
4|BOSCH BMA250 3-axis Accelerometer|[8.542512,0.4213795,3.5625722]|1511413946729
4|R3GD20 Gyroscope sensor|[0.0842994,-0.04153884,-0.8943067]|1511413946730
4|R3GD20 Gyroscope sensor|[-0.029321533,-0.02076942,-0.96761054]|1511413946740
4|BOSCH BMA250 3-axis Accelerometer|[9.002198,0.5363012,3.4859576]|1511413946749
4|R3GD20 Gyroscope sensor|[0.10629055,-0.04886922,-1.0067059]|1511413946750
4|BOSCH BMA250 3-axis Accelerometer|[8.350976,0.6895301,3.6391866]|1511413946760
4|R3GD20 Gyroscope sensor|[0.06841691,-0.014660766,-1.0824533]|1511413946760
4|R3GD20 Gyroscope sensor|[-0.017104227,-0.043982297,-1.1301007]|1511413946770
4|BOSCH BMA250 3-axis Accelerometer|[9.002198,1.1492168,3.4476504]|1511413946779
4|R3GD20 Gyroscope sensor|[0.09407325,-0.073303826,-1.1679744]|1511413946780
4|R3GD20 Gyroscope sensor|[0.10140363,-0.0012217305,-1.2021828]|1511413946790
4|BOSCH BMA250 3-axis Accelerometer|[8.197746,0.842759,3.715801]|1511413946799
4|R3GD20 Gyroscope sensor|[0.02687807,-0.019547688,-1.2889256]|1511413946800
4|BOSCH BMA250 3-axis Accelerometer|[8.963891,1.7238252,3.4476504]|1511413946812
4|R3GD20 Gyroscope sensor|[0.07086037,-0.05375614,-1.3243558]|1511413946812
4|R3GD20 Gyroscope sensor|[0.13316862,0.010995574,-1.3487904]|1511413946820
4|R3GD20 Gyroscope sensor|[0.017104227,0.0,-1.4135422]|1511413946829
4|BOSCH BMA250 3-axis Accelerometer|[8.082825,0.9576807,3.715801]|1511413946830
4|BOSCH BMA250 3-axis Accelerometer|[8.925584,2.2984335,3.2944214]|1511413946840
4|R3GD20 Gyroscope sensor|[0.013439035,-0.0720821,-1.4880677]|1511413946840
4|R3GD20 Gyroscope sensor|[0.19547687,-0.014660766,-1.4624114]|1511413946850
4|BOSCH BMA250 3-axis Accelerometer|[7.776367,1.1109096,3.715801]|1511413946860
4|R3GD20 Gyroscope sensor|[0.06719518,-0.019547688,-1.5308284]|1511413946860
4|BOSCH BMA250 3-axis Accelerometer|[8.887277,3.3327289,3.2944214]|1511413946869
4|R3GD20 Gyroscope sensor|[-0.004886922,-0.065973446,-1.582141]|1511413946871
4|R3GD20 Gyroscope sensor|[0.15393804,-0.039095376,-1.5723672]|1511413946880
4|BOSCH BMA250 3-axis Accelerometer|[7.5848308,1.1109096,3.8307228]|1511413946890
4|R3GD20 Gyroscope sensor|[0.119729586,0.004886922,-1.5894713]|1511413946890
4|BOSCH BMA250 3-axis Accelerometer|[8.734048,4.2904096,3.217807]|1511413946900
4|R3GD20 Gyroscope sensor|[-0.028099801,-0.059864793,-1.6358972]|1511413946901
4|R3GD20 Gyroscope sensor|[0.09040806,-0.07819075,-1.6383406]|1511413946910
4|BOSCH BMA250 3-axis Accelerometer|[7.469909,1.1492168,3.86903]|1511413946919
4|R3GD20 Gyroscope sensor|[0.17837265,0.0012217305,-1.6077974]|1511413946919
4|R3GD20 Gyroscope sensor|[-0.019547688,-0.035430185,-1.6383406]|1511413946930
4|BOSCH BMA250 3-axis Accelerometer|[8.465898,5.439626,3.1794999]|1511413946940
4|R3GD20 Gyroscope sensor|[-0.012217305,-0.08674286,-1.6603317]|1511413946940
4|BOSCH BMA250 3-axis Accelerometer|[7.393295,1.4556746,3.8307228]|1511413946949
4|R3GD20 Gyroscope sensor|[0.25411993,0.0036651916,-1.5601498]|1511413946951
4|R3GD20 Gyroscope sensor|[0.042760566,-0.010995574,-1.5833627]|1511413946960
