GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:30:08 EST 2017,30:08.1,-76.04048261,36.77243495,10.5,10,-35.70000076,206.9,8.27436066,-0.5363012,4.8267107,-0.06453071,-,16.47058868,-0.01473404,0.86298645,-0.12886222,0.35687518,27.05882454,27.05882454,-,-,41,21.14853287,14.64881134,-,1339,-,-117.1259842,36.77243423,-76.04048157,6.66666698,23.48783112,22.9907341,-
Sun Nov 26 19:30:09 EST 2017,30:09.1,-76.04053826,36.77235111,10.5,9,-35.70000076,205.9,8.6957407,-0.80445176,4.86501789,0.02031025,-,16.47058868,0.07507778,0.92546505,-0.06247865,0.44278333,27.05882454,27.05882454,-,-,41,21.153162,14.64881134,-,1345,-,-117.1259842,36.77235031,-76.04053497,6.66666698,23.48783112,22.9907341,-
Sun Nov 26 19:30:10 EST 2017,30:10.1,-76.04058892,36.77226795,10.25,10,-35.79999924,205,8.00621033,1.26413846,4.44363832,-0.0140567,-,16.47058868,-0.00705917,0.85127175,0.1210524,0.39592433,27.05882454,27.05882454,-,-,41,21.15932465,14.64881134,-,1351,-,-117.4540634,36.77226639,-76.04058838,6.66666698,22.9285965,23.61210442,-
Sun Nov 26 19:30:11 EST 2017,30:11.1,-76.04063659,36.77217606,10.5,10,-36.09999847,204.3,8.31266785,2.10689759,4.5202527,-0.00051586,-,16.47058868,-0.07424347,0.79269797,0.23819989,0.31392109,26.66666794,27.05882454,-,-,41,21.16390419,14.64881134,-,1354,-,-118.4383164,36.77217484,-76.04063416,6.66666698,23.48783112,22.9907341,-
Sun Nov 26 19:30:12 EST 2017,30:12.1,-76.04068682,36.7720901,10.5,9,-35.79999924,203.7,7.92959595,1.60890353,4.40533113,-0.02918099,-,14.90196133,0.04471559,0.81222248,0.35144243,0.45449808,24.70588303,27.05882454,-,-,41,21.17000771,14.64881134,-,1348,-,-117.4540634,36.77209091,-76.04068756,5.09803915,23.48783112,23.61210442,-
Sun Nov 26 19:30:13 EST 2017,30:13.1,-76.04073385,36.77200426,10.75,10,-36.40000153,204.4,7.73806,2.56658411,4.32871675,0.00049416,-,16.86274529,0.01534702,0.87860614,0.22258021,0.35687518,27.45098114,27.84313774,-,-,41,21.17453766,14.64881134,-,1359,-,-119.4225769,36.77200317,-76.04073334,7.45098066,24.04706573,22.9907341,-
Sun Nov 26 19:30:14 EST 2017,30:14.1,-76.04080292,36.77192813,10.5,10,-36.90000153,211.9,9.19373417,1.95366859,4.94163227,-0.00869757,-,16.86274529,-0.0219621,0.83174706,0.14838681,0.39201942,27.45098114,27.45098114,-,-,41,21.18506622,14.64881134,-,1363,-,-121.0629959,36.77192688,-76.040802,7.45098066,23.48783112,23.61210442,21.0994339
Sun Nov 26 19:30:15 EST 2017,30:15.1,-76.04086725,36.77184519,10.5,10,-37,213.4,6.43561411,2.98796368,3.60087943,0.00383551,-,16.86274529,-0.04116878,0.78488815,0.25381953,0.38811451,27.45098114,27.45098114,-,-,41,21.19105911,14.64881134,-,1360,-,-121.3910751,36.77184677,-76.04087067,7.45098066,23.48783112,23.61210442,21.0994339
Sun Nov 26 19:30:16 EST 2017,30:16.1,-76.04093073,36.77176241,10.5,10,-37.29999924,216.2,7.58483076,4.175488,5.63116217,0.02776501,-,16.86274529,0.04012657,0.84346181,0.47249481,0.28268176,27.05882454,27.45098114,-,-,41,21.19702148,14.64881134,-,1355,-,-122.3753281,36.77176285,-76.0409317,7.05882359,23.48783112,23.61210442,21.0994339
Sun Nov 26 19:30:17 EST 2017,30:17.1,-76.04100326,36.77168833,10.25,10,-36.79999924,217,7.01022243,2.87304211,4.25210238,-0.09539294,-,16.86274529,-0.06646347,0.8083176,0.19915071,0.32173091,27.05882454,27.45098114,-,-,41,21.20142937,14.64881134,-,1356,-,-120.7349091,36.77168655,-76.04100037,7.45098066,22.9285965,22.9907341,21.0994339
Sun Nov 26 19:30:18 EST 2017,30:18.1,-76.04109119,36.77162027,10.5,10,-37,224.4,7.77636719,3.52426481,5.36301184,-0.00422972,-,16.86274529,-0.0356229,0.80050778,0.30067852,0.34516042,27.45098114,27.45098114,-,-,41,21.20581627,14.64881134,-,1350,-,-121.3910751,36.7716217,-76.04109192,7.05882359,23.48783112,22.9907341,-
Sun Nov 26 19:30:19 EST 2017,30:19.1,-76.0411847,36.77155839,10.5,9,-36.59999847,228.1,7.54652357,3.40934324,4.40533113,-0.01517603,-,16.86274529,-0.04229933,0.77317333,0.29677361,0.38030469,27.05882454,27.45098114,-,-,41,21.21452141,14.64881134,-,1354,-,-120.0787354,36.77155685,-76.04118347,7.05882359,23.48783112,22.9907341,-
Sun Nov 26 19:30:20 EST 2017,30:20.1,-76.04127853,36.77150213,10.5,9,-35.79999924,232.1,7.66144562,3.48595762,4.86501789,-0.01144379,-,16.86274529,0.01622576,0.79660285,0.42173091,0.36858991,27.05882454,27.45098114,-,-,41,21.21884346,14.64881134,-,1347,-,-117.4540634,36.77150345,-76.04127502,7.05882359,23.48783112,22.9907341,-
Sun Nov 26 19:30:21 EST 2017,30:21.1,-76.04137773,36.77144871,10.5,10,-34.90000153,236.2,7.50821638,2.60489154,4.67348194,-0.04118806,-,16.86274529,-0.04915903,0.78488815,0.23819989,0.38030469,27.05882454,27.45098114,-,-,41,21.22314262,14.64881134,-,1349,-,-114.5013199,36.77145004,-76.04137421,7.05882359,23.48783112,22.9907341,-
Sun Nov 26 19:30:22 EST 2017,30:22.1,-76.04148013,36.77140264,10.5,10,-35.40000153,239.1,8.00621033,2.29843354,4.09887314,-0.02309219,-,16.86274529,-0.02367973,0.82003236,0.24600971,0.36858991,27.05882454,27.45098114,-,-,41,21.22892952,14.64881134,-,1353,-,-116.1417389,36.77140427,-76.04148102,7.05882359,23.48783112,23.61210442,-
Sun Nov 26 19:30:23 EST 2017,30:23.1,-76.04157565,36.77135156,10.5,10,-34.90000153,238.5,7.62313843,2.9113493,4.48194551,-0.013868,-,16.86274529,-0.05792943,0.73802912,0.35534734,0.364685,27.05882454,27.45098114,-,-,41,21.24041367,14.64881134,-,1375,-,-114.5013199,36.77135086,-76.04157257,7.05882359,23.48783112,23.61210442,19.72338295
Sun Nov 26 19:30:24 EST 2017,30:24.1,-76.04168735,36.771324,10.75,10,-33.90000153,246.6,7.69975281,3.02627087,4.25210238,-0.00366872,-,16.86274529,0.01707374,0.83955687,0.28115395,0.39982924,27.05882454,27.45098114,-,-,41,21.24760818,14.64881134,-,1391,-,-111.2204742,36.77132416,-76.04168701,7.05882359,24.04706573,24.23347664,24.24109077
Sun Nov 26 19:30:25 EST 2017,30:25.1,-76.04180584,36.771299,11,9,-33.40000153,250.9,8.54251194,3.44765043,5.13316822,0.09398729,-,16.86274529,0.12801382,0.92156017,0.36315718,0.43887842,27.45098114,27.45098114,-,-,41,21.25476837,14.64881134,-,1416,-,-109.5800552,36.77129745,-76.04180908,7.45098066,24.60629845,24.23347664,24.24109077
Sun Nov 26 19:30:26 EST 2017,30:26.1,-76.04191701,36.77127412,11,9,-33.70000076,253.7,7.50821638,2.37504816,4.21379519,0.02254049,-,16.86274529,-0.04124836,0.73802912,0.28896379,0.43887842,27.05882454,27.45098114,-,-,41,21.27046967,14.64881134,-,1410,-,-110.5643082,36.77127457,-76.04191589,7.05882359,24.60629845,24.85484695,24.24109077
Sun Nov 26 19:30:27 EST 2017,30:27.1,-76.04203898,36.77125794,11,9,-33.79999924,258.1,8.27436066,2.18351197,4.36702394,-0.00021572,-,15.29411793,-0.03626392,0.71459961,0.28896379,0.4779276,25.49019623,25.49019623,-,-,41,21.27752686,14.64881134,-,1396,-,-110.8923874,36.77125931,-76.04203796,5.88235283,24.60629845,24.23347664,-
Sun Nov 26 19:30:28 EST 2017,30:28.1,-76.04216517,36.77124472,11,9,-33.20000076,259.3,7.62313843,3.21780705,4.59686708,-0.01861856,-,15.29411793,-0.04442874,0.78488815,0.27724904,0.36858991,25.49019623,25.88235283,-,-,41,21.28306961,14.64881134,-,1362,-,-108.9238892,36.77124405,-76.04216766,5.88235283,24.60629845,23.61210442,-
Sun Nov 26 19:30:29 EST 2017,30:29.1,-76.04227966,36.77123432,10.75,9,-34.29999924,263.5,8.00621033,1.99197578,4.5202527,-0.022035,-,16.07843208,-0.10471852,0.74974388,0.18353106,0.35297027,26.27450943,26.27450943,-,-,41,21.29261398,14.64881134,-,1359,-,-112.5328064,36.7712326,-76.0422821,6.27450991,24.04706573,22.9907341,-
Sun Nov 26 19:30:30 EST 2017,30:30.1,-76.04239826,36.77123639,10.5,9,-34.79999924,268.4,7.81467438,2.33674097,4.06056595,0.00300983,-,16.47058868,0.01039071,0.85127175,0.13276714,0.42716369,26.66666794,26.66666794,-,-,41,21.29808426,14.64881134,-,1365,-,-114.1732254,36.77123642,-76.04239655,6.66666698,23.48783112,23.61210442,-
Sun Nov 26 19:30:31 EST 2017,30:31.1,-76.04251779,36.77123851,10.5,9,-34.90000153,269.9,9.53849983,0,5.32470465,0.00713332,-,16.07843208,-0.05331645,0.81612742,-0.05076391,0.37639979,25.88235283,24.70588303,-,-,41,21.30352783,14.64881134,-,1365,-,-114.5013199,36.77124023,-76.04251862,6.66666698,23.48783112,23.61210442,-
Sun Nov 26 19:30:32 EST 2017,30:32.1,-76.04263558,36.77123656,10.5,10,-35.90000153,270.3,8.42759037,0.42137951,4.40533113,-0.01201576,-,14.90196133,-0.03086411,0.86689138,0.05076391,0.32954079,24.70588303,25.09803963,-,-,41,21.3143425,14.64881134,-,1367,-,-117.7821579,36.77123642,-76.04263306,6.27450991,23.48783112,23.61210442,-
Sun Nov 26 19:30:33 EST 2017,30:33.1,-76.04275428,36.77124041,10.5,9,-36,270.8,8.65743351,-0.61291564,5.5162406,0.06729358,-,16.07843208,-0.09277397,0.78098321,0.08590815,0.35297027,26.27450943,26.27450943,-,-,41,21.31971169,14.64881134,-,1357,-,-118.1102371,36.77124023,-76.04275513,5.09803915,23.48783112,23.61210442,-
Sun Nov 26 19:30:34 EST 2017,30:34.1,-76.04287194,36.77124209,10.5,9,-35.5,271.1,8.15943909,0.49799395,4.48194551,-0.00125271,-,14.50980377,0.00728239,0.84736669,0.0741934,0.43887842,14.50980377,14.50980377,-,-,41,21.32360458,14.64881134,-,1254,-,-116.4698181,36.77124023,-76.04286957,4.31372547,23.48783112,22.9907341,-
Sun Nov 26 19:30:35 EST 2017,30:35.1,-76.04298574,36.77124192,10.25,9,-35.90000153,270.6,8.58081913,2.94965649,5.36301184,0.00016295,-,14.50980377,-0.03476096,0.74583894,0.32410803,0.41935381,16.86274529,17.25490189,-,-,41,21.32701683,14.64881134,-,1227,-,-117.7821579,36.77124023,-76.04298401,4.70588255,22.9285965,21.74799156,-
Sun Nov 26 19:30:36 EST 2017,30:36.1,-76.04310129,36.77124609,10.25,9,-36.29999924,272.1,6.05254173,4.75009632,3.21780705,-0.02511609,-,15.29411793,0.01211835,0.69507504,0.54278332,0.39592433,24.70588303,25.49019623,-,-,41,21.32655144,14.64881134,-,1252,-,-119.0944824,36.77124786,-76.04309845,6.27450991,22.9285965,21.12662125,-
Sun Nov 26 19:30:37 EST 2017,30:37.1,-76.04320662,36.77125889,9.5,9,-36.5,277.2,5.93762016,5.59285498,3.40934324,-0.07980162,-,15.68627453,-0.08338697,0.58964235,0.56621277,0.31392109,25.88235283,25.88235283,-,-,41,21.32608986,14.64881134,-,1240,-,-119.7506561,36.77125931,-76.04320526,6.27450991,21.25089455,21.12662125,-
Sun Nov 26 19:30:38 EST 2017,30:38.1,-76.04330759,36.77127815,9.75,9,-36.59999847,282.4,6.09084892,5.82269859,4.97993946,-0.04154832,-,15.68627453,-0.00802783,0.61697668,0.62478656,0.36078009,25.88235283,25.88235283,-,-,41,21.3256321,14.64881134,-,1232,-,-120.0787354,36.77127838,-76.04330444,5.88235283,21.81012726,21.12662125,-
Sun Nov 26 19:30:39 EST 2017,30:39.1,-76.0434083,36.77130976,9.5,9,-37.09999847,289.6,6.4739213,6.74207211,4.55855989,-0.01196386,-,15.68627453,-0.0506607,0.69507504,0.46078008,0.35297027,25.49019623,25.88235283,-,-,41,21.32471657,14.64881134,-,1231,-,-121.7191544,36.7713089,-76.04341125,5.88235283,21.25089455,21.12662125,-
Sun Nov 26 19:30:40 EST 2017,30:40.1,-76.04350399,36.77134894,9.75,9,-36.79999924,296,7.01022243,4.48194551,4.44363832,-0.01682343,-,15.68627453,0.00423298,0.6638357,0.49201941,0.47011772,25.49019623,25.88235283,-,-,41,21.32426453,14.64881134,-,1235,-,-120.7349091,36.77134705,-76.04350281,5.88235283,21.81012726,21.12662125,-
Sun Nov 26 19:30:41 EST 2017,30:41.1,-76.04359716,36.77139508,9.75,10,-37,301.9,8.35097599,1.26413846,5.13316822,0.02650613,-,14.50980377,-0.05651324,0.82393724,0.1718163,0.32563588,20.7843132,21.17647171,-,-,41,21.32336426,14.64881134,-,1218,-,-121.3910751,36.77139664,-76.04359436,4.70588255,21.81012726,21.12662125,-
Sun Nov 26 19:30:42 EST 2017,30:42.1,-76.04368315,36.77144836,9.75,10,-36.79999924,305.4,8.19774628,0.68953007,5.32470465,0.01075717,-,14.50980377,-0.01522985,0.83955687,0.05076391,0.411544,21.17647171,21.17647171,-,-,41,21.32291794,14.64881134,-,1201,-,-120.7349091,36.77145004,-76.04368591,4.70588255,21.81012726,21.12662125,-
Sun Nov 26 19:30:43 EST 2017,30:43.1,-76.04376914,36.77150312,9.5,10,-37.09999847,307,8.77235508,0.57460839,4.75009632,-0.00593342,-,14.50980377,-0.07655391,0.80441266,0.05857374,0.34906533,21.17647171,21.17647171,-,-,41,21.32106209,14.64881134,-,1180,-,-121.7191544,36.77150345,-76.04376984,4.31372547,21.25089455,20.50524902,-
