GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Tue Oct 24 17:55:31 EDT 2017,55:30.9,-76.04313499,36.77327288,9,9,-35.29999924,221.2,1.26413846,3.90733719,9.42357826,0.06686443,-,17.64705849,0.04822243,-,-,80.59999847,14.6500206,1215,-,-115.8136444,36.77327347,-76.0431366,8.62745094,20.13242531,21.12662125,18.20299721
Tue Oct 24 17:55:33 EDT 2017,55:32.7,-76.04324127,36.77312238,10,10,-35.59999847,206.8,2.56658411,3.21780705,8.92558384,0.02092868,-,14.90196133,0.01674367,-,-,80.59999847,14.91290855,1256,-,-116.7978973,36.77312088,-76.04324341,5.09803915,22.36936378,21.74799156,18.22790527
Tue Oct 24 17:55:34 EDT 2017,55:34.5,-76.04329443,36.77304002,10,10,-35.40000153,207.2,2.26012635,3.02627087,7.20175886,-0.00516828,-,14.11764717,-0.1707518,-,-,78.80000305,15.11263466,1227,-,-116.1417389,36.77304077,-76.04329681,4.70588255,22.36936378,20.50524902,18.22790527
Tue Oct 24 17:55:36 EDT 2017,55:36.3,-76.04338729,36.77291259,8.5,10,-35.40000153,209.6,4.32871675,3.75410819,8.31266785,0.04816574,-,14.50980377,0.02951732,-,-,78.80000305,15.14860153,996,-,-116.1417389,36.77291107,-76.04338837,4.70588255,19.01395798,16.15565109,-
Tue Oct 24 17:55:38 EDT 2017,55:38.1,-76.043541,36.7728726,6.75,10,-35.59999847,249.1,4.86501789,5.01824665,6.97191525,0.02533251,-,19.2156868,-0.00858175,-,-,78.80000305,15.12003231,1268,-,-116.7978973,36.77287292,-76.04354095,9.8039217,15.09931946,14.29153728,-
Tue Oct 24 17:55:40 EDT 2017,55:39.9,-76.04369883,36.77289533,6.75,10,-36.5,278.5,2.37504816,2.9113493,9.80665016,-0.02103017,-,15.29411793,-0.13917913,-,-,78.80000305,15.19352722,1401,-,-119.7506561,36.77289581,-76.04370117,5.88235283,15.09931946,17.39839363,65.00254059
Tue Oct 24 17:55:42 EDT 2017,55:41.7,-76.04383353,36.7729279,6.5,11,-36,288,1.76213241,1.68551803,8.96389103,0.07904575,-,14.11764717,0.12961563,-,-,78.80000305,15.20417595,1240,-,-118.1102371,36.77292633,-76.04383087,4.31372547,14.54008579,15.53427982,65.00254059
Tue Oct 24 17:55:43 EDT 2017,55:43.5,-76.04390925,36.77295763,6.75,11,-36.20000076,291.9,0.8810662,5.20978308,7.96790314,0.04780333,-,24.70588303,-0.02508733,-,-,78.80000305,15.00705624,831,-,-118.7664032,36.77295685,-76.04390717,16.07843208,15.09931946,8.69919682,-
Tue Oct 24 17:55:45 EDT 2017,55:45.3,-76.04393016,36.77304874,4.75,11,-36,324,1.60890353,6.01423454,7.92959595,0.04668301,-,26.27450943,0.02803417,-,-,78.80000305,14.89463329,1740,-,-118.1102371,36.7730484,-76.04393005,18.03921509,10.62544727,11.18468189,26.72391319
Tue Oct 24 17:55:47 EDT 2017,55:47.1,-76.04388606,36.77320699,7.75,10,-37,14.8,0.07661445,6.05254173,7.12514448,0.02146324,-,32.15686417,0.03553206,-,-,78.80000305,14.96616936,2052,-,-121.3910751,36.77320862,-76.04388428,25.09803963,17.33625603,17.39839363,88.31942749
Tue Oct 24 17:55:49 EDT 2017,55:48.9,-76.04380865,36.77338751,10,10,-36.40000153,23.4,-0.65122288,6.28238535,6.58884287,-0.01417604,-,26.27450943,-0.11211188,-,-,78.80000305,15.20633316,1804,-,-119.4225769,36.77338791,-76.04380798,18.4313736,22.36936378,23.61210442,136.7174835
Tue Oct 24 17:55:51 EDT 2017,55:50.7,-76.04369166,36.77357973,11.5,10,-34.59999847,22,-0.49799395,5.59285498,8.31266785,-0.00722698,-,20,0.02291549,-,-,78.80000305,15.53427982,2098,-,-113.5170593,36.77357864,-76.04369354,9.8039217,25.72476578,27.34033203,80.9992981
Tue Oct 24 17:55:52 EDT 2017,55:52.5,-76.04365224,36.77368022,11.75,10,-34.29999924,20.2,-1.68551803,3.10288548,8.38928318,-0.05315709,-,16.86274529,-0.07184009,-,-,78.80000305,15.87766933,1662,-,-112.5328064,36.77368164,-76.0436554,9.8039217,26.2840004,28.58307457,36.00783539
Tue Oct 24 17:55:54 EDT 2017,55:54.3,-76.04358259,36.7739029,12.5,10,-33.09999847,13.3,-0.80445176,4.63517427,8.46589756,0.02039261,-,17.25490189,-0.04312023,-,-,78.80000305,16.18751717,1615,-,-108.5957947,36.77390289,-76.0435791,8.23529434,27.96170425,27.96170425,36.00783539
Tue Oct 24 17:55:56 EDT 2017,55:56.2,-76.04355026,36.77410795,12,10,-34.40000153,7.9,0,5.86100578,7.85298157,0.01788026,-,21.56862831,-0.02225852,-,-,78.80000305,16.4663372,1595,-,-112.8609009,36.77410889,-76.04354858,10.58823586,26.84323311,27.34033203,-
Tue Oct 24 17:55:58 EDT 2017,55:58.0,-76.04351571,36.77434331,12.5,10,-34.5,5.5,0.22984336,6.09084892,7.16345167,-0.02221787,-,21.56862831,0.0527688,-,-,78.80000305,16.74671173,1676,-,-113.1889801,36.77434158,-76.04351807,14.11764717,27.96170425,27.96170425,17.32114601
Tue Oct 24 17:56:00 EDT 2017,55:59.8,-76.04349872,36.77457964,13,9,-33.79999924,3.9,-0.5363012,6.93360806,6.89530087,0.01954539,-,26.27450943,0.03121301,-,-,78.80000305,17.02853012,1648,-,-110.8923874,36.77457809,-76.04349518,18.03921509,29.08017159,28.58307457,17.95744896
Tue Oct 24 17:56:02 EDT 2017,56:01.6,-76.04348573,36.77481221,12.5,10,-34.20000076,1.9,0.2681506,6.4739213,8.15943909,0.08110124,-,19.6078434,0.06246405,-,-,78.80000305,17.32614136,1724,-,-112.2047272,36.77481079,-76.04348755,9.4117651,27.96170425,29.82581711,36.16191483
Tue Oct 24 17:56:03 EDT 2017,56:03.4,-76.0434926,36.77492062,12.25,11,-34.40000153,0.4,1.18752408,5.86100578,8.35097599,0.03494472,-,16.07843208,0.00824391,-,-,78.80000305,17.59610176,1681,-,-112.8609009,36.77492142,-76.04349518,6.66666698,27.40246773,29.20444679,36.16191483
Tue Oct 24 17:56:05 EDT 2017,56:05.2,-76.04343648,36.7751272,11.75,11,-35.70000076,7.5,0.19153613,5.82269859,7.20175886,-0.03674477,-,17.25490189,-0.05542222,-,-,77,17.81264114,1596,-,-117.1259842,36.77512741,-76.04343414,7.05882359,26.2840004,27.34033203,-
Tue Oct 24 17:56:07 EDT 2017,56:07.0,-76.04330093,36.77535631,12,9,-32.59999847,19.5,0.49799395,5.89931297,7.39329481,-0.01098272,-,16.47058868,-0.03416833,-,-,77,18.0062561,1557,-,-106.9553757,36.77535629,-76.04330444,7.05882359,26.84323311,26.71896172,-
Tue Oct 24 17:56:09 EDT 2017,56:08.9,-76.04319137,36.77556011,12,9,-30.29999924,24,1.03429508,5.7843914,7.58483076,-0.00294524,-,18.03921509,-0.02161108,-,-,77,18.19163322,1543,-,-99.40944672,36.77555847,-76.04319,9.01960754,26.84323311,26.71896172,-
Tue Oct 24 17:56:11 EDT 2017,56:10.6,-76.04305994,36.77575112,11.5,9,-29,30.9,0.9576807,5.89931297,8.23605347,0.05631202,-,18.03921509,0.00713852,-,-,77,18.36928558,1560,-,-95.14435577,36.77575302,-76.0430603,9.01960754,25.72476578,26.71896172,-
Tue Oct 24 17:56:12 EDT 2017,56:12.4,-76.04298601,36.77585178,12.5,9,-30,31.3,0.61291564,6.05254173,7.54652357,0.00709802,-,18.03921509,-0.04941585,-,-,77,18.55236816,1562,-,-98.42519379,36.7758522,-76.04298401,9.01960754,27.96170425,27.34033203,18.17235947
Tue Oct 24 17:56:14 EDT 2017,56:14.2,-76.04283504,36.77603701,12.5,10,-29.70000076,35.6,0.2681506,5.63116217,7.85298157,-0.01900432,-,18.03921509,-0.05883691,-,-,77,18.72812653,1575,-,-97.44094849,36.77603531,-76.04283142,9.01960754,27.96170425,27.34033203,18.17235947
Tue Oct 24 17:56:16 EDT 2017,56:16.2,-76.04265345,36.77621894,12.5,10,-29.89999962,39.9,-0.45968673,5.32470465,8.23605347,0.01983231,-,16.86274529,-0.00392923,-,-,77,18.90917778,1610,-,-98.09711456,36.77621841,-76.04265594,7.45098066,27.96170425,27.96170425,18.10097694
Tue Oct 24 17:56:18 EDT 2017,56:18.0,-76.04246137,36.77639075,12.75,10,-30.29999924,43.4,0,6.51222849,7.431602,0.01921282,-,18.8235302,0.00760051,-,-,77,19.0832653,1624,-,-99.40944672,36.77639008,-76.04245758,10.1960783,28.52093697,27.96170425,18.10097694
Tue Oct 24 17:56:20 EDT 2017,56:19.7,-76.04224183,36.77653153,12.75,10,-30,51.5,-0.5363012,5.17147589,8.31266785,0.01846015,-,18.8235302,0.0001449,-,-,77,19.25078392,1652,-,-98.42519379,36.77653122,-76.04224396,9.4117651,28.52093697,27.96170425,-
Tue Oct 24 17:56:22 EDT 2017,56:21.5,-76.04198883,36.77664799,13,9,-30,60.3,0.80445176,5.43962622,7.62313843,-0.01332666,-,17.25490189,-0.04941585,-,-,77,19.42360306,1648,-,-98.42519379,36.77664948,-76.04199219,7.84313726,29.08017159,28.58307457,18.26844597
Tue Oct 24 17:56:23 EDT 2017,56:23.3,-76.04185424,36.77670162,13.5,10,-29.70000076,61.2,0.38307226,5.86100578,8.08282471,-0.0015366,-,17.25490189,0.01885005,-,-,77,19.59013939,1655,-,-97.44094849,36.77670288,-76.04185486,7.45098066,30.19863892,28.58307457,18.26844597
Tue Oct 24 17:56:25 EDT 2017,56:25.1,-76.04158592,36.77678724,12.75,10,-29.20000076,68.4,-0.11492168,6.05254173,8.08282471,0.0266637,-,18.8235302,0.08462291,-,-,77,19.75072861,1649,-,-95.80052948,36.7767868,-76.04158783,9.8039217,28.52093697,28.58307457,-
Tue Oct 24 17:56:27 EDT 2017,56:26.9,-76.04130543,36.77684266,13,10,-31.29999924,77.8,0.5363012,5.59285498,7.89128876,-0.00265369,-,18.4313736,0.01081342,-,-,77,19.9056797,1667,-,-102.6902847,36.77684402,-76.04130554,9.4117651,29.08017159,28.58307457,-
Tue Oct 24 17:56:29 EDT 2017,56:28.7,-76.04101536,36.7768469,13.25,9,-32.09999847,86.2,0.8810662,5.5162406,7.92959595,0.00775367,-,16.47058868,0.02945803,-,-,77,20.05529213,1663,-,-105.3149567,36.77684784,-76.04101562,7.05882359,29.6394043,28.58307457,-
Tue Oct 24 17:56:30 EDT 2017,56:30.5,-76.04087564,36.77684501,12.75,10,-32.70000076,91.4,1.34075296,5.74608421,7.92959595,0.02654403,-,16.47058868,0.0078882,-,-,77,20.18929672,1625,-,-107.2834702,36.77684402,-76.0408783,7.05882359,28.52093697,27.96170425,-
Tue Oct 24 17:56:32 EDT 2017,56:32.3,-76.04059139,36.7768084,13,11,-34.70000076,98.6,1.68551803,5.86100578,6.74207211,-0.03313764,-,16.07843208,-0.07296696,-,-,77,20.30848312,1597,-,-113.8451462,36.77680969,-76.04058838,6.66666698,29.08017159,27.34033203,-
Tue Oct 24 17:56:34 EDT 2017,56:34.1,-76.04036443,36.77668435,12,10,-34.59999847,122.7,0.76614451,4.90332508,8.1211319,0.05524582,-,14.90196133,0.03722525,-,-,77,20.41357231,1525,-,-113.5170593,36.77668381,-76.04036713,5.49019623,26.84323311,26.71896172,-
Tue Oct 24 17:56:36 EDT 2017,56:36.0,-76.04016314,36.77656314,10.5,10,-34.79999924,128.2,0.8810662,5.47793341,7.69975281,-0.01356542,-,13.72549057,-0.03223494,-,-,77,20.42507172,1198,-,-114.1732254,36.77656174,-76.04016113,4.31372547,23.48783112,21.12662125,-
Tue Oct 24 17:56:38 EDT 2017,56:37.8,-76.04003498,36.77647926,6.75,10,-34.09999847,129.1,0.34476504,5.47793341,8.19774628,-0.01470757,-,14.90196133,0.00600912,-,-,77,20.31785202,965,-,-111.8766327,36.77647781,-76.04003143,3.52941179,15.09931946,13.67016602,-
