GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:32:08 EST 2017,32:07.7,-76.04341581,36.77469984,10.75,12,-35.29999924,16.4,7.96790314,1.8770541,3.79241538,-0.0091267,-,18.8235302,-0.01732388,0.83955687,0.2186753,0.36078009,30.98039246,30.98039246,-,-,41,20.83566093,14.64881134,-,1312,-,-115.8136444,36.77470016,-76.04341888,9.8039217,24.04706573,22.36936378,-
Sun Nov 26 19:32:09 EST 2017,32:08.7,-76.04341851,36.77481426,11,12,-35.59999847,12.9,8.65743351,1.68551803,4.06056595,0.00117864,-,18.8235302,-0.0559393,0.81222248,0.19915071,0.33735061,30.98039246,30.98039246,-,-,41,20.83869743,14.64881134,-,1321,-,-116.7978973,36.77481461,-76.04341888,9.8039217,24.60629845,22.36936378,-
Sun Nov 26 19:32:10 EST 2017,32:09.7,-76.04341256,36.77487438,10.25,12,-35,8.8,8.15943909,2.06859016,3.90733719,-0.01661482,-,18.8235302,-0.0545665,0.83174706,0.19915071,0.30220634,30.58823586,30.98039246,-,-,41,20.84718704,14.64881134,-,1332,-,-114.8293991,36.77487564,-76.04341125,9.8039217,22.9285965,22.9907341,24.34245682
Sun Nov 26 19:32:11 EST 2017,32:10.7,-76.04337442,36.77494341,10,12,-34.79999924,10.6,8.00621033,1.95366859,4.32871675,-0.01005729,-,18.4313736,-0.03784857,0.83174706,0.18743597,0.34516042,30.19607925,30.19607925,-,-,41,20.851408,14.64881134,-,1346,-,-114.1732254,36.77494431,-76.04337311,9.4117651,22.36936378,22.9907341,24.34245682
Sun Nov 26 19:32:12 EST 2017,32:11.7,-76.04331808,36.77501177,10.25,12,-35.20000076,15.9,8.42759037,1.80043972,4.71178913,0.00719495,-,18.4313736,0.04467177,0.87860614,0.19134088,0.4310686,29.80392265,30.19607925,-,-,41,20.8568306,14.64881134,-,1360,-,-115.4855652,36.77501297,-76.0433197,9.4117651,22.9285965,23.61210442,24.34245682
Sun Nov 26 19:32:13 EST 2017,32:12.7,-76.04331022,36.77512629,11,12,-35.20000076,14.4,8.1211319,1.18752408,4.86501789,0.03476008,-,18.4313736,0.02538872,0.83955687,0.32801294,0.38811451,29.41176605,29.01960754,-,-,41,20.87004662,14.64881134,-,1390,-,-115.4855652,36.77512741,-76.04331207,9.01960754,24.60629845,24.85484695,21.04041862
Sun Nov 26 19:32:14 EST 2017,32:13.7,-76.04329019,36.77523629,11.25,11,-35.29999924,14.8,8.1211319,1.95366859,4.55855989,-0.0117747,-,17.25490189,-0.02655189,0.83174706,0.20696054,0.36078009,27.84313774,27.84313774,-,-,41,20.87661552,14.64881134,-,1399,-,-115.8136444,36.77523804,-76.04328918,7.84313726,25.16553307,24.23347664,23.51248741
Sun Nov 26 19:32:15 EST 2017,32:14.7,-76.04325177,36.7753371,11.25,11,-35.09999847,15.6,8.19774628,1.83874691,4.86501789,-0.00664029,-,15.29411793,-0.03293683,0.81222248,0.19134088,0.38811451,23.92156982,25.09803963,-,-,41,20.88315964,14.64881134,-,1397,-,-115.1574783,36.77533722,-76.04325104,5.49019623,25.16553307,24.23347664,23.51248741
Sun Nov 26 19:32:16 EST 2017,32:15.7,-76.04323414,36.77541441,11,11,-35.90000153,16.8,8.27436066,1.9153614,4.5202527,-0.00368412,-,16.47058868,-0.01187322,0.83955687,0.22648512,0.36858991,26.27450943,26.27450943,-,-,41,20.89375877,14.64881134,-,1377,-,-117.7821579,36.77541351,-76.04323578,6.66666698,24.60629845,23.61210442,23.51248741
Sun Nov 26 19:32:17 EST 2017,32:16.7,-76.04320174,36.77551001,10.75,11,-35.70000076,16.2,8.46589756,2.33674097,4.59686708,0.00944124,-,16.47058868,0.01195244,0.84346181,0.1952458,0.42325872,26.27450943,26.27450943,-,-,41,20.89902496,14.64881134,-,1365,-,-117.1259842,36.77550888,-76.04320526,7.05882359,24.04706573,23.61210442,-
Sun Nov 26 19:32:18 EST 2017,32:17.7,-76.04313901,36.77558405,10.25,10,-34.90000153,26.2,8.54251194,1.8770541,4.75009632,-0.00387323,-,16.07843208,-0.0794253,0.84736669,0.18353106,0.20848836,26.27450943,26.66666794,-,-,41,20.90427208,14.64881134,-,1360,-,-114.5013199,36.77558517,-76.0431366,6.66666698,22.9285965,23.61210442,-
